path,n_samples,average_iptm,iptm>=0.6,best_iptm,average_ptm,average_confidence_score,best_ptm,best_confidence_score
1_cofolding_uncharacterised_adps_defences/AVAST_III_AVAST_III_Avs3B_0_V/forsur_7/avast_iii_avast_iii_avs3b_0_v_forsur_7,20,0.649,TRUE,0.72,0.3625,0.5917,0.37,0.65
1_cofolding_uncharacterised_adps_defences/WWV39459.1/acrib9/wwv39459.1_acrib9,20,0.6465,TRUE,0.81,0.7405,0.6653,0.8,0.808
1_cofolding_uncharacterised_adps_defences/UEM35125.1/acric3/uem35125.1_acric3,20,0.6255,TRUE,0.7,0.524,0.6052,0.56,0.672
1_cofolding_uncharacterised_adps_defences/7EL1_A/acriia14/7el1_a_acriia14,20,0.3455,FALSE,0.92,0.559,0.3882,0.63,0.862
1_cofolding_uncharacterised_adps_defences/7V9X_A/u56/7v9x_a_u56,20,0.128,FALSE,0.23,0.4635,0.1951,0.5,0.284
1_cofolding_uncharacterised_adps_defences/7V9X_C/u56/7v9x_c_u56,20,0.1965,FALSE,0.52,0.5195,0.2611,0.54,0.524
1_cofolding_uncharacterised_adps_defences/AGJ62243.1/acriiib1/agj62243.1_acriiib1,20,0.2755,FALSE,0.35,0.5295,0.3263,0.54,0.388
1_cofolding_uncharacterised_adps_defences/AGJ62244.1/acriiib1/agj62244.1_acriiib1,20,0.173,FALSE,0.22,0.7655,0.2915,0.77,0.33
1_cofolding_uncharacterised_adps_defences/AGJ62245.1/acriiib1/agj62245.1_acriiib1,20,0.2235,FALSE,0.33,0.491,0.277,0.5,0.364
1_cofolding_uncharacterised_adps_defences/AGJ62246.1/acriiib1/agj62246.1_acriiib1,20,0.1815,FALSE,0.28,0.6205,0.2693,0.65,0.354
1_cofolding_uncharacterised_adps_defences/AGJ62247.1/acriiib1/agj62247.1_acriiib1,20,0.089,FALSE,0.12,0.5685,0.1849,0.58,0.212
1_cofolding_uncharacterised_adps_defences/AGJ62248.1/acriiib1/agj62248.1_acriiib1,20,0.185,FALSE,0.21,0.536,0.2552,0.54,0.276
1_cofolding_uncharacterised_adps_defences/AHH51208.1/acrif12/ahh51208.1_acrif12,20,0.259,FALSE,0.44,0.6505,0.3373,0.73,0.498
1_cofolding_uncharacterised_adps_defences/AHH51208.1/acrif15/ahh51208.1_acrif15,20,0.4135,FALSE,0.67,0.6645,0.4637,0.69,0.674
1_cofolding_uncharacterised_adps_defences/AHH51208.1/acrif16/ahh51208.1_acrif16,20,0.1075,FALSE,0.13,0.5385,0.1937,0.52,0.208
1_cofolding_uncharacterised_adps_defences/AHH51208.1/acrif17/ahh51208.1_acrif17,20,0.4165,FALSE,0.53,0.5825,0.4497,0.59,0.542
1_cofolding_uncharacterised_adps_defences/AHH51208.1/acrif18_/ahh51208.1_acrif18_,20,0.145,FALSE,0.2,0.6735,0.2507,0.65,0.29
1_cofolding_uncharacterised_adps_defences/AHH51209.1/acrif12/ahh51209.1_acrif12,20,0.162,FALSE,0.25,0.793,0.2882,0.8,0.36
1_cofolding_uncharacterised_adps_defences/AHH51209.1/acrif15/ahh51209.1_acrif15,20,0.246,FALSE,0.31,0.8335,0.3635,0.83,0.414
1_cofolding_uncharacterised_adps_defences/AHH51209.1/acrif16/ahh51209.1_acrif16,20,0.237,FALSE,0.35,0.785,0.3466,0.81,0.442
1_cofolding_uncharacterised_adps_defences/AHH51209.1/acrif17/ahh51209.1_acrif17,20,0.1735,FALSE,0.23,0.81,0.3008,0.81,0.346
1_cofolding_uncharacterised_adps_defences/AHH51209.1/acrif18_/ahh51209.1_acrif18_,20,0.161,FALSE,0.24,0.835,0.2958,0.83,0.358
1_cofolding_uncharacterised_adps_defences/AHH51210.1/acrif12/ahh51210.1_acrif12,20,0.167,FALSE,0.28,0.4785,0.2293,0.49,0.322
1_cofolding_uncharacterised_adps_defences/AHH51210.1/acrif16/ahh51210.1_acrif16,20,0.1935,FALSE,0.24,0.4635,0.2475,0.47,0.286
1_cofolding_uncharacterised_adps_defences/AHH51210.1/acrif17/ahh51210.1_acrif17,20,0.139,FALSE,0.27,0.513,0.2138,0.55,0.326
1_cofolding_uncharacterised_adps_defences/AHH51211.1/acrif12/ahh51211.1_acrif12,20,0.2825,FALSE,0.58,0.566,0.3392,0.64,0.592
1_cofolding_uncharacterised_adps_defences/AHH51211.1/acrif15/ahh51211.1_acrif15,20,0.2895,FALSE,0.39,0.6335,0.3583,0.66,0.444
1_cofolding_uncharacterised_adps_defences/AHH51211.1/acrif16/ahh51211.1_acrif16,20,0.142,FALSE,0.21,0.5285,0.2193,0.56,0.28
1_cofolding_uncharacterised_adps_defences/AHH51211.1/acrif17/ahh51211.1_acrif17,20,0.1385,FALSE,0.25,0.5535,0.2215,0.59,0.318
1_cofolding_uncharacterised_adps_defences/AHH51211.1/acrif18_/ahh51211.1_acrif18_,20,0.16,FALSE,0.23,0.62,0.252,0.64,0.312
1_cofolding_uncharacterised_adps_defences/AHH51212.1/acrif12/ahh51212.1_acrif12,20,0.3275,FALSE,0.42,0.697,0.4014,0.72,0.48
1_cofolding_uncharacterised_adps_defences/AHH51212.1/acrif15/ahh51212.1_acrif15,20,0.2285,FALSE,0.3,0.742,0.3312,0.75,0.39
1_cofolding_uncharacterised_adps_defences/AHH51212.1/acrif16/ahh51212.1_acrif16,20,0.384,FALSE,0.54,0.673,0.4418,0.72,0.576
1_cofolding_uncharacterised_adps_defences/AHH51212.1/acrif17/ahh51212.1_acrif17,20,0.141,FALSE,0.2,0.65,0.2428,0.67,0.294
1_cofolding_uncharacterised_adps_defences/AHH51212.1/acrif18_/ahh51212.1_acrif18_,20,0.377,FALSE,0.78,0.7735,0.4563,0.84,0.792
1_cofolding_uncharacterised_adps_defences/AHH51213.1/acrif12/ahh51213.1_acrif12,20,0.0905,FALSE,0.14,0.5165,0.1757,0.52,0.216
1_cofolding_uncharacterised_adps_defences/AHH51213.1/acrif15/ahh51213.1_acrif15,20,0.187,FALSE,0.29,0.612,0.272,0.65,0.362
1_cofolding_uncharacterised_adps_defences/AHH51213.1/acrif16/ahh51213.1_acrif16,20,0.093,FALSE,0.15,0.454,0.1652,0.46,0.212
1_cofolding_uncharacterised_adps_defences/AHH51213.1/acrif17/ahh51213.1_acrif17,20,0.2345,FALSE,0.65,0.573,0.3022,0.73,0.666
1_cofolding_uncharacterised_adps_defences/AHH51213.1/acrif18_/ahh51213.1_acrif18_,20,0.2475,FALSE,0.31,0.632,0.3244,0.65,0.378
1_cofolding_uncharacterised_adps_defences/AKG14689.1/acrva2/akg14689.1_acrva2,20,0.208,FALSE,0.24,0.6505,0.2965,0.65,0.322
1_cofolding_uncharacterised_adps_defences/AKG14689.1/acrva3/akg14689.1_acrva3,20,0.182,FALSE,0.31,0.7225,0.2901,0.72,0.392
1_cofolding_uncharacterised_adps_defences/AKG14690.1/acrva2/akg14690.1_acrva2,20,0.213,FALSE,0.35,0.7295,0.3163,0.74,0.428
1_cofolding_uncharacterised_adps_defences/AKG14690.1/acrva3/akg14690.1_acrva3,20,0.0585,FALSE,0.08,0.3245,0.1117,0.33,0.13
1_cofolding_uncharacterised_adps_defences/AKG16167.1/acrva2/akg16167.1_acrva2,20,0.1595,FALSE,0.18,0.6455,0.2567,0.65,0.274
1_cofolding_uncharacterised_adps_defences/AKG16167.1/acrva3/akg16167.1_acrva3,20,0.116,FALSE,0.17,0.3775,0.1683,0.39,0.214
1_cofolding_uncharacterised_adps_defences/ALT07361.1/acrva2/alt07361.1_acrva2,20,0.4265,FALSE,0.75,0.6655,0.4743,0.83,0.766
1_cofolding_uncharacterised_adps_defences/ALT07361.1/acrva3/alt07361.1_acrva3,20,0.163,FALSE,0.21,0.6595,0.2623,0.67,0.302
1_cofolding_uncharacterised_adps_defences/ALU77910.1/acriia12/alu77910.1_acriia12,20,0.264,FALSE,0.33,0.569,0.325,0.61,0.386
1_cofolding_uncharacterised_adps_defences/ALU77910.1/acriia3/alu77910.1_acriia3,20,0.195,FALSE,0.25,0.5135,0.2587,0.52,0.304
1_cofolding_uncharacterised_adps_defences/ALU77911.1/acriia12/alu77911.1_acriia12,20,0.186,FALSE,0.35,0.706,0.29,0.73,0.426
1_cofolding_uncharacterised_adps_defences/ALU77911.1/acriia3/alu77911.1_acriia3,20,0.107,FALSE,0.13,0.626,0.2108,0.63,0.23
1_cofolding_uncharacterised_adps_defences/ALU77912.1/acriia12/alu77912.1_acriia12,20,0.128,FALSE,0.19,0.473,0.197,0.5,0.252
1_cofolding_uncharacterised_adps_defences/ALU77913.1/acriia12/alu77913.1_acriia12,20,0.1315,FALSE,0.2,0.5745,0.2201,0.61,0.282
1_cofolding_uncharacterised_adps_defences/ALU77913.1/acriia3/alu77913.1_acriia3,20,0.1175,FALSE,0.13,0.505,0.195,0.51,0.206
1_cofolding_uncharacterised_adps_defences/APD31654.1/acriia20/apd31654.1_acriia20,20,0.4445,FALSE,0.73,0.6155,0.4787,0.62,0.708
1_cofolding_uncharacterised_adps_defences/APD31655.1/acriia20/apd31655.1_acriia20,20,0.211,FALSE,0.54,0.736,0.316,0.78,0.588
1_cofolding_uncharacterised_adps_defences/APD31656.1/acriia20/apd31656.1_acriia20,20,0.2475,FALSE,0.33,0.544,0.3068,0.57,0.378
1_cofolding_uncharacterised_adps_defences/APD31657.1/acriia20/apd31657.1_acriia20,20,0.135,FALSE,0.11,0.5375,0.2155,0.54,0.196
1_cofolding_uncharacterised_adps_defences/AVAST_III_AVAST_III_Avs3A_0_V/forsur_7/avast_iii_avast_iii_avs3a_0_v_forsur_7,20,0.2245,FALSE,0.26,0.7185,0.3233,0.71,0.35
1_cofolding_uncharacterised_adps_defences/AVAST_III_AVAST_III_Avs3A_0_V/lidtsur_17/avast_iii_avast_iii_avs3a_0_v_lidtsur_17,20,0.269,FALSE,0.32,0.7135,0.3579,0.73,0.402
1_cofolding_uncharacterised_adps_defences/AVAST_III_AVAST_III_Avs3A_0_V/lidtsur_6/avast_iii_avast_iii_avs3a_0_v_lidtsur_6,20,0.336,FALSE,0.48,0.7205,0.4129,0.72,0.528
1_cofolding_uncharacterised_adps_defences/AVAST_III_AVAST_III_Avs3A_0_V/orf55/avast_iii_avast_iii_avs3a_0_v_orf55,20,0.2825,FALSE,0.35,0.692,0.3644,0.7,0.42
1_cofolding_uncharacterised_adps_defences/AVAST_III_AVAST_III_Avs3A_0_V/orf83/avast_iii_avast_iii_avs3a_0_v_orf83,20,0.473,FALSE,0.55,0.7385,0.5261,0.75,0.59
1_cofolding_uncharacterised_adps_defences/AVAST_III_AVAST_III_Avs3B_0_V/lidtsur_17/avast_iii_avast_iii_avs3b_0_v_lidtsur_17,20,0.1305,FALSE,0.16,0.415,0.1874,0.43,0.214
1_cofolding_uncharacterised_adps_defences/AVAST_III_AVAST_III_Avs3B_0_V/lidtsur_6/avast_iii_avast_iii_avs3b_0_v_lidtsur_6,20,0.21,FALSE,0.43,0.3355,0.2351,0.35,0.414
1_cofolding_uncharacterised_adps_defences/AVAST_III_AVAST_III_Avs3B_0_V/orf55/avast_iii_avast_iii_avs3b_0_v_orf55,20,0.1825,FALSE,0.24,0.431,0.2322,0.44,0.28
1_cofolding_uncharacterised_adps_defences/AVAST_III_AVAST_III_Avs3B_0_V/orf83/avast_iii_avast_iii_avs3b_0_v_orf83,20,0.3975,FALSE,0.49,0.4475,0.4075,0.47,0.486
1_cofolding_uncharacterised_adps_defences/AVAST_V_Avs5A/ads38_/avast_v_avs5a_ads38_,20,0.1825,FALSE,0.22,0.7985,0.3057,0.79,0.334
1_cofolding_uncharacterised_adps_defences/AbiH_AbiH/enki/abih_abih_enki,20,0.22,FALSE,0.28,0.7565,0.3273,0.81,0.386
1_cofolding_uncharacterised_adps_defences/AbiH_AbiH/tlaloc/abih_abih_tlaloc,20,0.386,FALSE,0.4,0.79,0.4668,0.78,0.476
1_cofolding_uncharacterised_adps_defences/AbiU_AbiU/surt/abiu_abiu_surt,20,0.1025,FALSE,0.11,0.512,0.1844,0.52,0.192
1_cofolding_uncharacterised_adps_defences/BBM48616.1/acrvia7_plus/bbm48616.1_acrvia7_plus,20,0.1615,FALSE,0.17,0.4985,0.2289,0.49,0.234
1_cofolding_uncharacterised_adps_defences/BREX_I_BREX_brxA_DUF1819_0_V/orf46/brex_i_brex_brxa_duf1819_0_v_orf46,20,0.172,FALSE,0.51,0.7415,0.2859,0.81,0.57
1_cofolding_uncharacterised_adps_defences/BREX_I_BREX_brxA_DUF1819_0_V/orf72/brex_i_brex_brxa_duf1819_0_v_orf72,20,0.154,FALSE,0.22,0.51,0.2252,0.53,0.282
1_cofolding_uncharacterised_adps_defences/BREX_I_BREX_brxB_DUF1788_0_V/orf46/brex_i_brex_brxb_duf1788_0_v_orf46,20,0.1275,FALSE,0.15,0.6735,0.2367,0.68,0.256
1_cofolding_uncharacterised_adps_defences/BREX_I_BREX_brxB_DUF1788_0_V/orf72/brex_i_brex_brxb_duf1788_0_v_orf72,20,0.1495,FALSE,0.22,0.4775,0.2151,0.5,0.276
1_cofolding_uncharacterised_adps_defences/BREX_I_BREX_brxC_0_V/orf46/brex_i_brex_brxc_0_v_orf46,20,0.157,FALSE,0.21,0.5565,0.2369,0.57,0.282
1_cofolding_uncharacterised_adps_defences/BREX_I_BREX_brxC_0_V/orf72/brex_i_brex_brxc_0_v_orf72,20,0.1915,FALSE,0.24,0.51,0.2552,0.51,0.294
1_cofolding_uncharacterised_adps_defences/BREX_I_BREX_brxL_0_V/orf46/brex_i_brex_brxl_0_v_orf46,20,0.1205,FALSE,0.12,0.6345,0.2233,0.63,0.222
1_cofolding_uncharacterised_adps_defences/BREX_I_BREX_brxL_0_V/orf72/brex_i_brex_brxl_0_v_orf72,20,0.1385,FALSE,0.2,0.559,0.2226,0.58,0.276
1_cofolding_uncharacterised_adps_defences/BREX_I_BREX_pglX1_0_V/orf46/brex_i_brex_pglx1_0_v_orf46,20,0.1725,FALSE,0.18,0.6055,0.2591,0.61,0.266
1_cofolding_uncharacterised_adps_defences/BREX_I_BREX_pglX1_0_V/orf72/brex_i_brex_pglx1_0_v_orf72,20,0.1685,FALSE,0.23,0.5655,0.2479,0.57,0.298
1_cofolding_uncharacterised_adps_defences/BREX_I_BREX_pglZ2_0_V/orf46/brex_i_brex_pglz2_0_v_orf46,20,0.143,FALSE,0.15,0.784,0.2712,0.79,0.278
1_cofolding_uncharacterised_adps_defences/BREX_I_BREX_pglZ2_0_V/orf72/brex_i_brex_pglz2_0_v_orf72,20,0.2115,FALSE,0.3,0.7015,0.3095,0.72,0.384
1_cofolding_uncharacterised_adps_defences/CAD0136979.1/acriia30/cad0136979.1_acriia30,20,0.2155,FALSE,0.32,0.5485,0.2821,0.57,0.37
1_cofolding_uncharacterised_adps_defences/CAD0136981.1/acriia30/cad0136981.1_acriia30,20,0.162,FALSE,0.25,0.7455,0.2787,0.76,0.352
1_cofolding_uncharacterised_adps_defences/CAD0136981.1/acriia31/cad0136981.1_acriia31,20,0.146,FALSE,0.26,0.7435,0.2655,0.75,0.358
1_cofolding_uncharacterised_adps_defences/CAD0136983.1/acriia30/cad0136983.1_acriia30,20,0.0825,FALSE,0.09,0.479,0.1618,0.49,0.17
1_cofolding_uncharacterised_adps_defences/CAD0136983.1/acriia31/cad0136983.1_acriia31,20,0.1085,FALSE,0.15,0.4935,0.1855,0.47,0.214
1_cofolding_uncharacterised_adps_defences/CAE1141955.1/acrif19/cae1141955.1_acrif19,20,0.199,FALSE,0.32,0.6485,0.2889,0.67,0.39
1_cofolding_uncharacterised_adps_defences/CAE1141955.1/acrif20/cae1141955.1_acrif20,20,0.3035,FALSE,0.62,0.602,0.3632,0.65,0.626
1_cofolding_uncharacterised_adps_defences/CAE1141955.1/acrif21/cae1141955.1_acrif21,20,0.118,FALSE,0.16,0.524,0.1992,0.54,0.236
1_cofolding_uncharacterised_adps_defences/CAE1141955.1/acrif22_/cae1141955.1_acrif22_,20,0.129,FALSE,0.17,0.59,0.2212,0.62,0.26
1_cofolding_uncharacterised_adps_defences/CAE1141956.1/acrif19/cae1141956.1_acrif19,20,0.1835,FALSE,0.24,0.7925,0.3053,0.79,0.35
1_cofolding_uncharacterised_adps_defences/CAE1141956.1/acrif20/cae1141956.1_acrif20,20,0.1915,FALSE,0.27,0.777,0.3086,0.78,0.372
1_cofolding_uncharacterised_adps_defences/CAE1141956.1/acrif21/cae1141956.1_acrif21,20,0.208,FALSE,0.26,0.7375,0.3139,0.76,0.36
1_cofolding_uncharacterised_adps_defences/CAE1141956.1/acrif22_/cae1141956.1_acrif22_,20,0.161,FALSE,0.19,0.7695,0.2827,0.77,0.306
1_cofolding_uncharacterised_adps_defences/CAE1141957.1/acrif19/cae1141957.1_acrif19,20,0.292,FALSE,0.65,0.529,0.3394,0.61,0.642
1_cofolding_uncharacterised_adps_defences/CAE1141957.1/acrif20/cae1141957.1_acrif20,20,0.1415,FALSE,0.22,0.4765,0.2085,0.46,0.268
1_cofolding_uncharacterised_adps_defences/CAE1141957.1/acrif21/cae1141957.1_acrif21,20,0.138,FALSE,0.21,0.4515,0.2007,0.48,0.264
1_cofolding_uncharacterised_adps_defences/CAE1141957.1/acrif22_/cae1141957.1_acrif22_,20,0.159,FALSE,0.33,0.4425,0.2157,0.44,0.352
1_cofolding_uncharacterised_adps_defences/CAE1141960.1/acrif19/cae1141960.1_acrif19,20,0.383,FALSE,0.73,0.655,0.4374,0.75,0.734
1_cofolding_uncharacterised_adps_defences/CAE1141960.1/acrif20/cae1141960.1_acrif20,20,0.1605,FALSE,0.25,0.615,0.2514,0.65,0.33
1_cofolding_uncharacterised_adps_defences/CAE1141960.1/acrif21/cae1141960.1_acrif21,20,0.1505,FALSE,0.18,0.534,0.2272,0.54,0.252
1_cofolding_uncharacterised_adps_defences/CAE1141960.1/acrif22_/cae1141960.1_acrif22_,20,0.193,FALSE,0.31,0.618,0.278,0.65,0.378
1_cofolding_uncharacterised_adps_defences/CAE1141961.1/acrif19/cae1141961.1_acrif19,20,0.284,FALSE,0.55,0.7325,0.3737,0.79,0.598
1_cofolding_uncharacterised_adps_defences/CAE1141961.1/acrif20/cae1141961.1_acrif20,20,0.192,FALSE,0.24,0.7405,0.3017,0.75,0.342
1_cofolding_uncharacterised_adps_defences/CAE1141961.1/acrif21/cae1141961.1_acrif21,20,0.1465,FALSE,0.18,0.6275,0.2427,0.64,0.272
1_cofolding_uncharacterised_adps_defences/CAE1141961.1/acrif22_/cae1141961.1_acrif22_,20,0.5715,FALSE,0.74,0.789,0.615,0.82,0.756
1_cofolding_uncharacterised_adps_defences/CBH27300.1/acriic7/cbh27300.1_acriic7,20,0.365,FALSE,0.38,0.669,0.4258,0.67,0.438
1_cofolding_uncharacterised_adps_defences/CBH27300.1/acriic8/cbh27300.1_acriic8,20,0.186,FALSE,0.21,0.573,0.2634,0.57,0.282
1_cofolding_uncharacterised_adps_defences/CBH27300.1/acriic9/cbh27300.1_acriic9,20,0.17,FALSE,0.23,0.632,0.2624,0.63,0.31
1_cofolding_uncharacterised_adps_defences/DRT_1_DRT_1_drt1a_0_V/hades/drt_1_drt_1_drt1a_0_v_hades,20,0.166,FALSE,0.18,0.8195,0.2967,0.82,0.308
1_cofolding_uncharacterised_adps_defences/DRT_1_DRT_1_drt1a_0_V/kali/drt_1_drt_1_drt1a_0_v_kali,20,0.1815,FALSE,0.22,0.8355,0.3123,0.84,0.344
1_cofolding_uncharacterised_adps_defences/DRT_1_DRT_1_drt1b_0_V/hades/drt_1_drt_1_drt1b_0_v_hades,20,0.0975,FALSE,0.17,0.425,0.163,0.45,0.226
1_cofolding_uncharacterised_adps_defences/DRT_1_DRT_1_drt1b_0_V/kali/drt_1_drt_1_drt1b_0_v_kali,20,0.0935,FALSE,0.11,0.43,0.1608,0.45,0.178
1_cofolding_uncharacterised_adps_defences/DarTG_DarTG_DarG_0_DF/adfa/dartg_dartg_darg_0_df_adfa,20,0.109,FALSE,0.16,0.3955,0.1663,0.42,0.212
1_cofolding_uncharacterised_adps_defences/DarTG_DarTG_DarT_0_DF/adfa/dartg_dartg_dart_0_df_adfa,20,0.149,FALSE,0.28,0.521,0.2234,0.52,0.328
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_ABCDEFGH_DptF_0_DF/p0020/dnd_abcdefgh_dnd_abcdefgh_dptf_0_df_p0020,20,0.1145,FALSE,0.13,0.4315,0.1779,0.43,0.19
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_ABCDEFGH_DptF_0_DF/p0021/dnd_abcdefgh_dnd_abcdefgh_dptf_0_df_p0021,20,0.0915,FALSE,0.1,0.5425,0.1817,0.57,0.194
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_ABCDEFGH_DptG_0_DF/p0020/dnd_abcdefgh_dnd_abcdefgh_dptg_0_df_p0020,20,0.1235,FALSE,0.18,0.6125,0.2213,0.61,0.266
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_ABCDEFGH_DptG_0_DF/p0021/dnd_abcdefgh_dnd_abcdefgh_dptg_0_df_p0021,20,0.4165,FALSE,0.63,0.872,0.5076,0.89,0.682
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_ABCDEFGH_DptH_0_DF/p0020/dnd_abcdefgh_dnd_abcdefgh_dpth_0_df_p0020,20,0.1865,FALSE,0.2,0.49,0.2472,0.48,0.256
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_ABCDEFGH_DptH_0_DF/p0021/dnd_abcdefgh_dnd_abcdefgh_dpth_0_df_p0021,20,0.2495,FALSE,0.35,0.5535,0.3103,0.55,0.39
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_DndA_0_DF/p0020/dnd_abcdefgh_dnd_dnda_0_df_p0020,20,0.331,FALSE,0.47,0.6065,0.3861,0.6,0.496
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_DndA_0_DF/p0021/dnd_abcdefgh_dnd_dnda_0_df_p0021,20,0.1685,FALSE,0.3,0.8465,0.3041,0.86,0.412
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_DndB_0_DF/p0020/dnd_abcdefgh_dnd_dndb_0_df_p0020,20,0.134,FALSE,0.19,0.366,0.1804,0.37,0.226
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_DndB_0_DF/p0021/dnd_abcdefgh_dnd_dndb_0_df_p0021,20,0.212,FALSE,0.37,0.497,0.269,0.5,0.396
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_DndC_0_DF/p0020/dnd_abcdefgh_dnd_dndc_0_df_p0020,20,0.1505,FALSE,0.22,0.5845,0.2373,0.6,0.296
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_DndC_0_DF/p0021/dnd_abcdefgh_dnd_dndc_0_df_p0021,20,0.236,FALSE,0.33,0.7595,0.3407,0.8,0.424
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_DndD_0_DF/p0020/dnd_abcdefgh_dnd_dndd_0_df_p0020,20,0.1725,FALSE,0.24,0.416,0.2212,0.44,0.28
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_DndD_0_DF/p0021/dnd_abcdefgh_dnd_dndd_0_df_p0021,20,0.298,FALSE,0.37,0.502,0.3388,0.5,0.396
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_DndE_0_DF/p0020/dnd_abcdefgh_dnd_dnde_0_df_p0020,20,0.228,FALSE,0.33,0.368,0.256,0.4,0.344
1_cofolding_uncharacterised_adps_defences/Dnd_ABCDEFGH_Dnd_DndE_0_DF/p0021/dnd_abcdefgh_dnd_dnde_0_df_p0021,20,0.2345,FALSE,0.26,0.6555,0.3187,0.67,0.342
1_cofolding_uncharacterised_adps_defences/Druantia_I_Druantia_DruE_0_V/orf71/druantia_i_druantia_drue_0_v_orf71,20,0.268,FALSE,0.32,0.79,0.3724,0.8,0.416
1_cofolding_uncharacterised_adps_defences/Druantia_I_Druantia_I_DruA_0_V/orf71/druantia_i_druantia_i_drua_0_v_orf71,20,0.183,FALSE,0.25,0.638,0.274,0.64,0.328
1_cofolding_uncharacterised_adps_defences/Druantia_I_Druantia_I_DruB_0_V/orf71/druantia_i_druantia_i_drub_0_v_orf71,20,0.335,FALSE,0.42,0.4185,0.3517,0.43,0.422
1_cofolding_uncharacterised_adps_defences/Druantia_I_Druantia_I_DruC_0_V/orf71/druantia_i_druantia_i_druc_0_v_orf71,20,0.203,FALSE,0.33,0.464,0.2552,0.46,0.356
