score	protein	pair_a	pair_b	n_seeds_a	n_seeds_b	mean_a	mean_b	delta_b_minus_a	perm_p_raw	q_BH_FDR	signif_q_0.05
iptm	yp_009091875	ATP-UTP	GTP-GTP	5	5	0.8176	0.8884	0.0708	0.0079	0.0123	yes
iptm	yp_009091875	ATP-UTP	GTP-CTP	5	5	0.8176	0.7792	-0.0384	0.0079	0.0123	yes
iptm	yp_009091875	ATP-UTP	GTP-UTP	5	5	0.8176	0.8056	-0.0120	0.1508	0.1696	no
iptm	yp_009091875	ATP-UTP	CTP-CTP	5	5	0.8176	0.9092	0.0916	0.0079	0.0123	yes
iptm	yp_009091875	ATP-UTP	CTP-UTP	5	5	0.8176	0.7804	-0.0372	0.0079	0.0123	yes
iptm	yp_009091875	ATP-UTP	UTP-UTP	5	5	0.8176	0.9168	0.0992	0.0079	0.0123	yes
iptm	yp_009091875	GTP-GTP	GTP-CTP	5	5	0.8884	0.7792	-0.1092	0.0079	0.0123	yes
iptm	yp_009091875	GTP-GTP	GTP-UTP	5	5	0.8884	0.8056	-0.0828	0.0079	0.0123	yes
iptm	yp_009091875	GTP-GTP	CTP-CTP	5	5	0.8884	0.9092	0.0208	0.0159	0.0230	yes
iptm	yp_009091875	GTP-GTP	CTP-UTP	5	5	0.8884	0.7804	-0.1080	0.0079	0.0123	yes
iptm	yp_009091875	GTP-GTP	UTP-UTP	5	5	0.8884	0.9168	0.0284	0.0079	0.0123	yes
iptm	yp_009091875	GTP-CTP	GTP-UTP	5	5	0.7792	0.8056	0.0264	0.0238	0.0325	yes
iptm	yp_009091875	GTP-CTP	CTP-CTP	5	5	0.7792	0.9092	0.1300	0.0079	0.0123	yes
iptm	yp_009091875	GTP-CTP	CTP-UTP	5	5	0.7792	0.7804	0.0012	0.9206	0.9206	no
iptm	yp_009091875	GTP-CTP	UTP-UTP	5	5	0.7792	0.9168	0.1376	0.0079	0.0123	yes
iptm	yp_009091875	GTP-UTP	CTP-CTP	5	5	0.8056	0.9092	0.1036	0.0079	0.0123	yes
iptm	yp_009091875	GTP-UTP	CTP-UTP	5	5	0.8056	0.7804	-0.0252	0.0159	0.0230	yes
iptm	yp_009091875	GTP-UTP	UTP-UTP	5	5	0.8056	0.9168	0.1112	0.0079	0.0123	yes
iptm	yp_009091875	CTP-CTP	CTP-UTP	5	5	0.9092	0.7804	-0.1288	0.0079	0.0123	yes
iptm	yp_009091875	CTP-CTP	UTP-UTP	5	5	0.9092	0.9168	0.0076	0.1190	0.1448	no
iptm	yp_009091875	CTP-UTP	UTP-UTP	5	5	0.7804	0.9168	0.1364	0.0079	0.0123	yes
ptm	yp_009031408	ATP-ATP	ATP-GTP	5	5	0.9240	0.9088	-0.0152	0.0079	0.0223	yes
ptm	yp_009031408	ATP-ATP	ATP-CTP	5	5	0.9240	0.9152	-0.0088	0.2460	0.3571	no
ptm	yp_009031408	ATP-ATP	ATP-UTP	5	5	0.9240	0.9248	0.0008	0.9127	0.9551	no
ptm	yp_009031408	ATP-ATP	GTP-GTP	5	5	0.9240	0.9272	0.0032	0.2698	0.3795	no
ptm	yp_009031408	ATP-ATP	GTP-CTP	5	5	0.9240	0.9212	-0.0028	0.3095	0.4067	no
ptm	yp_009031408	ATP-ATP	GTP-UTP	5	5	0.9240	0.9248	0.0008	0.8571	0.9184	no
ptm	yp_009031408	ATP-ATP	CTP-CTP	5	5	0.9240	0.9304	0.0064	0.0397	0.0974	no
ptm	yp_009031408	ATP-ATP	CTP-UTP	5	5	0.9240	0.9208	-0.0032	0.3175	0.4067	no
ptm	yp_009031408	ATP-ATP	UTP-UTP	5	5	0.9240	0.9324	0.0084	0.0238	0.0630	no
ptm	yp_009031408	ATP-GTP	ATP-CTP	5	5	0.9088	0.9152	0.0064	0.3651	0.4323	no
ptm	yp_009031408	ATP-GTP	ATP-UTP	5	5	0.9088	0.9248	0.0160	0.0079	0.0223	yes
ptm	yp_009031408	ATP-GTP	GTP-GTP	5	5	0.9088	0.9272	0.0184	0.0079	0.0223	yes
ptm	yp_009031408	ATP-GTP	GTP-CTP	5	5	0.9088	0.9212	0.0124	0.0079	0.0223	yes
ptm	yp_009031408	ATP-GTP	GTP-UTP	5	5	0.9088	0.9248	0.0160	0.0079	0.0223	yes
ptm	yp_009031408	ATP-GTP	CTP-CTP	5	5	0.9088	0.9304	0.0216	0.0079	0.0223	yes
ptm	yp_009031408	ATP-GTP	CTP-UTP	5	5	0.9088	0.9208	0.0120	0.0079	0.0223	yes
ptm	yp_009031408	ATP-GTP	UTP-UTP	5	5	0.9088	0.9324	0.0236	0.0079	0.0223	yes
ptm	yp_009031408	ATP-CTP	ATP-UTP	5	5	0.9152	0.9248	0.0096	0.1825	0.2833	no
ptm	yp_009031408	ATP-CTP	GTP-GTP	5	5	0.9152	0.9272	0.0120	0.0476	0.0974	no
ptm	yp_009031408	ATP-CTP	GTP-CTP	5	5	0.9152	0.9212	0.0060	0.4127	0.4643	no
ptm	yp_009031408	ATP-CTP	GTP-UTP	5	5	0.9152	0.9248	0.0096	0.1429	0.2473	no
ptm	yp_009031408	ATP-CTP	CTP-CTP	5	5	0.9152	0.9304	0.0152	0.0079	0.0223	yes
ptm	yp_009031408	ATP-CTP	CTP-UTP	5	5	0.9152	0.9208	0.0056	0.4127	0.4643	no
ptm	yp_009031408	ATP-CTP	UTP-UTP	5	5	0.9152	0.9324	0.0172	0.0079	0.0223	yes
ptm	yp_009031408	ATP-UTP	GTP-GTP	5	5	0.9248	0.9272	0.0024	0.5317	0.5836	no
ptm	yp_009031408	ATP-UTP	GTP-CTP	5	5	0.9248	0.9212	-0.0036	0.3254	0.4067	no
ptm	yp_009031408	ATP-UTP	GTP-UTP	5	5	0.9248	0.9248	0.0000	1.0000	1.0000	no
ptm	yp_009031408	ATP-UTP	CTP-CTP	5	5	0.9248	0.9304	0.0056	0.1587	0.2646	no
ptm	yp_009031408	ATP-UTP	CTP-UTP	5	5	0.9248	0.9208	-0.0040	0.2381	0.3571	no
ptm	yp_009031408	ATP-UTP	UTP-UTP	5	5	0.9248	0.9324	0.0076	0.0714	0.1398	no
ptm	yp_009031408	GTP-GTP	GTP-CTP	5	5	0.9272	0.9212	-0.0060	0.0476	0.0974	no
ptm	yp_009031408	GTP-GTP	GTP-UTP	5	5	0.9272	0.9248	-0.0024	0.3413	0.4151	no
ptm	yp_009031408	GTP-GTP	CTP-CTP	5	5	0.9272	0.9304	0.0032	0.1190	0.2143	no
ptm	yp_009031408	GTP-GTP	CTP-UTP	5	5	0.9272	0.9208	-0.0064	0.0476	0.0974	no
ptm	yp_009031408	GTP-GTP	UTP-UTP	5	5	0.9272	0.9324	0.0052	0.0476	0.0974	no
ptm	yp_009031408	GTP-CTP	GTP-UTP	5	5	0.9212	0.9248	0.0036	0.1190	0.2143	no
ptm	yp_009031408	GTP-CTP	CTP-CTP	5	5	0.9212	0.9304	0.0092	0.0079	0.0223	yes
ptm	yp_009031408	GTP-CTP	CTP-UTP	5	5	0.9212	0.9208	-0.0004	1.0000	1.0000	no
ptm	yp_009031408	GTP-CTP	UTP-UTP	5	5	0.9212	0.9324	0.0112	0.0079	0.0223	yes
ptm	yp_009031408	GTP-UTP	CTP-CTP	5	5	0.9248	0.9304	0.0056	0.0079	0.0223	yes
ptm	yp_009031408	GTP-UTP	CTP-UTP	5	5	0.9248	0.9208	-0.0040	0.1746	0.2806	no
ptm	yp_009031408	GTP-UTP	UTP-UTP	5	5	0.9248	0.9324	0.0076	0.0079	0.0223	yes
ptm	yp_009031408	CTP-CTP	CTP-UTP	5	5	0.9304	0.9208	-0.0096	0.0079	0.0223	yes
ptm	yp_009031408	CTP-CTP	UTP-UTP	5	5	0.9304	0.9324	0.0020	0.2857	0.3896	no
ptm	yp_009031408	CTP-UTP	UTP-UTP	5	5	0.9208	0.9324	0.0116	0.0079	0.0223	yes
ptm	yp_009091875	ATP-ATP	ATP-GTP	5	5	0.8724	0.8580	-0.0144	0.0079	0.0155	yes
ptm	yp_009091875	ATP-ATP	ATP-CTP	5	5	0.8724	0.8592	-0.0132	0.0079	0.0155	yes
ptm	yp_009091875	ATP-ATP	ATP-UTP	5	5	0.8724	0.8640	-0.0084	0.0079	0.0155	yes
ptm	yp_009091875	ATP-ATP	GTP-GTP	5	5	0.8724	0.8756	0.0032	0.2937	0.3571	no
ptm	yp_009091875	ATP-ATP	GTP-CTP	5	5	0.8724	0.8568	-0.0156	0.0079	0.0155	yes
ptm	yp_009091875	ATP-ATP	GTP-UTP	5	5	0.8724	0.8632	-0.0092	0.0159	0.0275	yes
ptm	yp_009091875	ATP-ATP	CTP-CTP	5	5	0.8724	0.8796	0.0072	0.0159	0.0275	yes
ptm	yp_009091875	ATP-ATP	CTP-UTP	5	5	0.8724	0.8580	-0.0144	0.0079	0.0155	yes
ptm	yp_009091875	ATP-ATP	UTP-UTP	5	5	0.8724	0.8808	0.0084	0.0079	0.0155	yes
ptm	yp_009091875	ATP-GTP	ATP-CTP	5	5	0.8580	0.8592	0.0012	0.7698	0.8333	no
ptm	yp_009091875	ATP-GTP	ATP-UTP	5	5	0.8580	0.8640	0.0060	0.0714	0.1037	no
ptm	yp_009091875	ATP-GTP	GTP-GTP	5	5	0.8580	0.8756	0.0176	0.0079	0.0155	yes
ptm	yp_009091875	ATP-GTP	GTP-CTP	5	5	0.8580	0.8568	-0.0012	0.8095	0.8472	no
ptm	yp_009091875	ATP-GTP	GTP-UTP	5	5	0.8580	0.8632	0.0052	0.1429	0.1891	no
ptm	yp_009091875	ATP-GTP	CTP-CTP	5	5	0.8580	0.8796	0.0216	0.0079	0.0155	yes
ptm	yp_009091875	ATP-GTP	CTP-UTP	5	5	0.8580	0.8580	0.0000	1.0000	1.0000	no
ptm	yp_009091875	ATP-GTP	UTP-UTP	5	5	0.8580	0.8808	0.0228	0.0079	0.0155	yes
ptm	yp_009091875	ATP-CTP	ATP-UTP	5	5	0.8592	0.8640	0.0048	0.0397	0.0616	no
ptm	yp_009091875	ATP-CTP	GTP-GTP	5	5	0.8592	0.8756	0.0164	0.0079	0.0155	yes
ptm	yp_009091875	ATP-CTP	GTP-CTP	5	5	0.8592	0.8568	-0.0024	0.5000	0.5921	no
ptm	yp_009091875	ATP-CTP	GTP-UTP	5	5	0.8592	0.8632	0.0040	0.1508	0.1939	no
ptm	yp_009091875	ATP-CTP	CTP-CTP	5	5	0.8592	0.8796	0.0204	0.0079	0.0155	yes
ptm	yp_009091875	ATP-CTP	CTP-UTP	5	5	0.8592	0.8580	-0.0012	0.6667	0.7692	no
ptm	yp_009091875	ATP-CTP	UTP-UTP	5	5	0.8592	0.8808	0.0216	0.0079	0.0155	yes
ptm	yp_009091875	ATP-UTP	GTP-GTP	5	5	0.8640	0.8756	0.0116	0.0079	0.0155	yes
ptm	yp_009091875	ATP-UTP	GTP-CTP	5	5	0.8640	0.8568	-0.0072	0.0397	0.0616	no
ptm	yp_009091875	ATP-UTP	GTP-UTP	5	5	0.8640	0.8632	-0.0008	0.8730	0.8929	no
ptm	yp_009091875	ATP-UTP	CTP-CTP	5	5	0.8640	0.8796	0.0156	0.0079	0.0155	yes
ptm	yp_009091875	ATP-UTP	CTP-UTP	5	5	0.8640	0.8580	-0.0060	0.0238	0.0397	yes
ptm	yp_009091875	ATP-UTP	UTP-UTP	5	5	0.8640	0.8808	0.0168	0.0079	0.0155	yes
ptm	yp_009091875	GTP-GTP	GTP-CTP	5	5	0.8756	0.8568	-0.0188	0.0079	0.0155	yes
ptm	yp_009091875	GTP-GTP	GTP-UTP	5	5	0.8756	0.8632	-0.0124	0.0159	0.0275	yes
ptm	yp_009091875	GTP-GTP	CTP-CTP	5	5	0.8756	0.8796	0.0040	0.2778	0.3472	no
ptm	yp_009091875	GTP-GTP	CTP-UTP	5	5	0.8756	0.8580	-0.0176	0.0079	0.0155	yes
ptm	yp_009091875	GTP-GTP	UTP-UTP	5	5	0.8756	0.8808	0.0052	0.0794	0.1116	no
ptm	yp_009091875	GTP-CTP	GTP-UTP	5	5	0.8568	0.8632	0.0064	0.0873	0.1190	no
ptm	yp_009091875	GTP-CTP	CTP-CTP	5	5	0.8568	0.8796	0.0228	0.0079	0.0155	yes
ptm	yp_009091875	GTP-CTP	CTP-UTP	5	5	0.8568	0.8580	0.0012	0.7778	0.8333	no
ptm	yp_009091875	GTP-CTP	UTP-UTP	5	5	0.8568	0.8808	0.0240	0.0079	0.0155	yes
ptm	yp_009091875	GTP-UTP	CTP-CTP	5	5	0.8632	0.8796	0.0164	0.0079	0.0155	yes
ptm	yp_009091875	GTP-UTP	CTP-UTP	5	5	0.8632	0.8580	-0.0052	0.0556	0.0833	no
ptm	yp_009091875	GTP-UTP	UTP-UTP	5	5	0.8632	0.8808	0.0176	0.0079	0.0155	yes
ptm	yp_009091875	CTP-CTP	CTP-UTP	5	5	0.8796	0.8580	-0.0216	0.0079	0.0155	yes
ptm	yp_009091875	CTP-CTP	UTP-UTP	5	5	0.8796	0.8808	0.0012	0.6984	0.7857	no
ptm	yp_009091875	CTP-UTP	UTP-UTP	5	5	0.8580	0.8808	0.0228	0.0079	0.0155	yes
